type_ownership;cod_building;Nome Edificio;Descrizione Edificio;Indirizzo;id_building;city;type_property
EDI;IT058057000001;immobile 1000;;via delle ortensie;2233907;058057;Proprietà
EDI;IT058057000002;immobile 1001;;via delle ortensie;2233908;058057;Proprietà
EDI;IT058057000003;immobile 1002;Immobile residenziale;via enrico medi;2233909;058057;Proprietà
EDI;IT058057000004;immobile 1003;Palazzo Matteotti;corso vittoria colonna;2233910;058057;Proprietà
EDI;IT058057000005;immobile 1004;Chiesa;Corso Vittoria Colonna;2233911;058057;Proprietà
EDI;IT058057000006;immobile 1005;Immobile residenziale;largo palazzo colonna;2233912;058057;Proprietà
EDI;IT058057000007;immobile 1006;Immobile residenziale;largo palazzo colonna;2233913;058057;Proprietà
EDI;IT058057000008;immobile 1007;Immobile residenziale;largo palazzo colonna;2233914;058057;Proprietà
EDI;IT058057000009;immobile 1008;Immobile residenziale;via e. medi;2233915;058057;Proprietà
EDI;IT058057000010;immobile 1009;Immobile residenziale;via e. medi;2233916;058057;Proprietà
EDI;IT058057000011;immobile 1010;Immobile residenziale;via e. medi;2233917;058057;Proprietà
EDI;IT058057000012;immobile 1011;Immobile residenziale;via e. medi;2233918;058057;Proprietà
EDI;IT058057000013;immobile 1012;Ex Mattatoio comunale;via g. garibaldi;2233919;058057;Proprietà
EDI;IT058057000014;immobile 1013;Immobile residenziale;via e. medi;2233920;058057;Proprietà
EDI;IT058057000015;immobile 1014;Immobile residenziale;piazza della stazione;2233921;058057;Proprietà
EDI;IT058057000016;immobile 1015;Immobile residenziale;piazza della stazione;2233922;058057;Proprietà
EDI;IT058057000017;immobile 1016;Palazzo Matteotti;corso vittoria colonna;2233923;058057;Proprietà
EDI;IT058057000018;immobile 1017;Museo comunale;via f.lli giani;2233924;058057;Proprietà
EDI;IT058057000019;immobile 1018;"Scuola elementare ""Anna Frank""";via nettunense vecchia;2233925;058057;Proprietà
EDI;IT058057000020;immobile 1019;Immobile residenziale;piazza della stazione;2233926;058057;Proprietà
EDI;IT058057000021;immobile 1020;Immobile residenziale;via enrico medi;2233927;058057;Proprietà
EDI;IT058057000022;immobile 1021;Immobile residenziale;via enrico medi;2233928;058057;Proprietà
EDI;IT058057000023;immobile 1022;Immobile residenziale;via enrico medi;2233929;058057;Proprietà
EDI;IT058057000024;immobile 1023;Immobile residenziale;piazza della stazione;2233930;058057;Proprietà
EDI;IT058057000025;immobile 1024;Immobile residenziale;piazza della stazione;2233931;058057;Proprietà
EDI;IT058057000026;immobile 1025;Immobile residenziale;piazza della stazione;2233932;058057;Proprietà
EDI;IT058057000027;immobile 1026;Palazzo Matteotti;corso vittoria colonna;2233933;058057;Proprietà
EDI;IT058057000028;immobile 1027;Immobile residenziale;via enrico medi;2233934;058057;Proprietà
EDI;IT058057000029;immobile 1028;Immobile residenziale;piazza della stazione;2233935;058057;Proprietà
EDI;IT058057000030;immobile 1029;Immobile residenziale;via e. medi;2233936;058057;Proprietà
EDI;IT058057000031;immobile 1030;Immobile residenziale;via e. medi;2233937;058057;Proprietà
EDI;IT058057000032;immobile 1031;Immobile residenziale;via cola di rienzo;2233938;058057;Proprietà
EDI;IT058057000033;immobile 1032;Immobile residenziale;via e. medi;2233939;058057;Proprietà
EDI;IT058057000034;immobile 1033;Immobile residenziale;via enrico medi;2233940;058057;Proprietà
EDI;IT058057000035;immobile 1034;Immobile residenziale;via enrico medi;2233941;058057;Proprietà
EDI;IT058057000036;immobile 1035;Palazzo Fumasoni-Biondi;Corso Vittoria Colonna;2233942;058057;Proprietà
EDI;IT058057000037;immobile 1036;Immobile residenziale;piazza della stazione;2233943;058057;Proprietà
EDI;IT058057000038;immobile 1037;Immobile residenziale;via enrico medi;2233944;058057;Proprietà
EDI;IT058057000039;immobile 1038;Immobile residenziale;via e. medi;2233945;058057;Proprietà
EDI;IT058057000040;immobile 1039;Immobile residenziale;via enrico medi;2233946;058057;Proprietà
EDI;IT058057000041;immobile 1040;Immobile residenziale;via enrico medi;2233947;058057;Proprietà
EDI;IT058057000042;immobile 1041;Immobile residenziale;piazza della stazione;2233948;058057;Proprietà
EDI;IT058057000043;immobile 1042;Immobile residenziale;piazza della stazione;2233949;058057;Proprietà
EDI;IT058057000044;immobile 1043;Biblioteca comunale;corso vittoria colonna;2233950;058057;Proprietà
EDI;IT058057000045;immobile 1044;;via capo d'acqua;2233951;058057;Proprietà
EDI;IT058057000046;immobile 1045;Ex Mattatoio comunale;via g. garibaldi;2233952;058057;Proprietà
EDI;IT058057000047;immobile 1046;"Scuola media ""Vivaldi""";via giovanni prati;2233953;058057;Proprietà
EDI;IT058057000048;immobile 1047;Ex Mattatoio comunale;via g. garibaldi;2233954;058057;Proprietà
EDI;IT058057000049;immobile 1048;;via don ugo bassi;2233955;058057;Proprietà
EDI;IT058057000050;immobile 1049;Palazzo Comunale;piazza della repubblica;2233956;058057;Proprietà
EDI;IT058057000051;immobile 1050;;via cardinal pizzardo;2233957;058057;Proprietà
EDI;IT058057000052;immobile 1051;Ex Mattatoio comunale;via g. garibaldi;2233958;058057;Proprietà
EDI;IT058057000053;immobile 1052;Ex Mattatoio comunale;via g. garibaldi;2233959;058057;Proprietà
EDI;IT058057000054;immobile 1053;Cappella funeraria;via capo d'acqua;2233960;058057;Proprietà
EDI;IT058057000055;immobile 1054;;via pietro nenni;2233961;058057;Proprietà
EDI;IT058057000056;immobile 1055;;Via Marcantonio Colonna;2233962;058057;Proprietà
EDI;IT058057000057;immobile 1056;;via pietro nenni;2233963;058057;Proprietà
EDI;IT058057000058;immobile 1057;;via don ugo bassi;2233964;058057;Proprietà
EDI;IT058057000059;immobile 1058;;via pietro nenni;2233965;058057;Proprietà
EDI;IT058057000060;immobile 1059;;via dei glicini;2233966;058057;Proprietà
EDI;IT058057000061;immobile 1060;casali negroni;via del divino amore;2233967;058057;Proprietà
EDI;IT058057000062;immobile 1061;casali negroni;via del divino amore;2233968;058057;Proprietà
EDI;IT058057000063;immobile 1062;casali negroni;via del divino amore;2233969;058057;Proprietà
EDI;IT058057000064;immobile 1063;casali negroni;via del divino amore;2233970;058057;Proprietà
EDI;IT058057000065;immobile 1064;casali negroni;via del divino amore;2233971;058057;Proprietà
EDI;IT058057000066;immobile 1065;casali negroni;via del divino amore;2233972;058057;Proprietà
EDI;IT058057000067;immobile 1066;casali negroni;via del divino amore;2233973;058057;Proprietà
EDI;IT058057000068;immobile 1067;casali negroni;via del divino amore;2233974;058057;Proprietà
EDI;IT058057000069;immobile 1068;casali negroni;via del divino amore;2233975;058057;Proprietà
EDI;IT058057000070;immobile 1069;casali negroni;via del divino amore;2233976;058057;Proprietà
EDI;IT058057000071;immobile 1070;casali negroni;via del divino amore;2233977;058057;Proprietà
EDI;IT058057000072;immobile 1071;casali negroni;via del divino amore;2233978;058057;Proprietà
EDI;IT058057000073;immobile 1072;casali negroni;via del divino amore;2233979;058057;Proprietà
EDI;IT058057000074;immobile 1073;casali negroni;via del divino amore;2233980;058057;Proprietà
EDI;IT058057000075;immobile 1074;Scuola materna ed elementare;via Amendola;2233981;058057;Proprietà
EDI;IT058057000076;immobile 1075;Scuola materna ed elementare;via delle Molette;2233982;058057;Proprietà
EDI;IT058057000077;immobile 1076;"Scuola elementare ""Massimo d'Azeglio""";via del Giardino Vecchio;2233983;058057;Proprietà
EDI;IT058057000078;immobile 1077;Scuola elementale;viale della Repubblica;2233984;058057;Proprietà
EDI;IT058057000079;immobile 1078;"Succursale Scuola media ""Vivaldi""";via Morosini;2233985;058057;Proprietà
EDI;IT058057000080;immobile 1079;"Scuola media ""Vittoria Colonna""";via M. d'Azeglio;2233986;058057;Proprietà
EDI;IT058057000081;immobile 1080;"Scuola media ""Primo Levi""";via Palaverta;2233987;058057;Proprietà
EDI;IT058057000082;immobile 1081;"Scuola elementare ""Spigarelli""";via N. Tommaseo;2233988;058057;Proprietà
EDI;IT058057000083;immobile 1082;Scuola elementare;via Rosa Venerini;2233989;058057;Proprietà
EDI;IT058057000084;immobile 1083;Campo sportivo;via Ferentum;2233990;058057;Proprietà
EDI;IT058057000085;immobile 1084;"Scuola materna ""Vascarelle""";via P. Nenni;2233991;058057;Proprietà
EDI;IT058057000086;immobile 1085;Scuola materna;via P. Maroncelli;2233992;058057;Proprietà
EDI;IT058057000087;immobile 1086;Palestra polifunzionale;via Appia Nuova;2233993;058057;Proprietà
EDI;IT058057000088;immobile 1087;;Largo Oberdan;2233994;058057;Proprietà
EDI;IT058057000089;immobile 1088;;via cardinal pizzardo;2233995;058057;Proprietà
EDI;IT058057000090;immobile 1089;;Piazza Garibaldi;2233996;058057;Proprietà
EDI;IT058057000091;immobile 1090;Scuola Materna;via A. Fantinoli;2233997;058057;Proprietà
EDI;IT058057000092;immobile 1091;Sala conferenze;corso vittoria colonna;2233998;058057;Proprietà
TER;IT058057000093;immobile 1092;;via delle ortensie;2233999;058057;Proprietà
TER;IT058057000094;immobile 1093;Terreno a parcheggio;Via del Sassone;2234000;058057;Proprietà
TER;IT058057000095;immobile 1094;Terreno a parcheggio;Via del Sassone;2234001;058057;Proprietà
TER;IT058057000096;immobile 1095;;via capo d'acqua;2234002;058057;Proprietà
TER;IT058057000097;immobile 1096;;via capo d'acqua;2234003;058057;Proprietà
TER;IT058057000098;immobile 1097;;via costa caselle;2234004;058057;Proprietà
TER;IT058057000099;immobile 1098;;via costa caselle;2234005;058057;Proprietà
TER;IT058057000100;immobile 1099;;via costa caselle;2234006;058057;Proprietà
TER;IT058057000101;immobile 1100;;via costa caselle;2234007;058057;Proprietà
TER;IT058057000102;immobile 1101;;via Cave Di Peperino;2234008;058057;Proprietà
TER;IT058057000103;immobile 1102;;via costa caselle;2234009;058057;Proprietà
TER;IT058057000104;immobile 1103;;via costa caselle;2234010;058057;Proprietà
TER;IT058057000105;immobile 1104;;via tenente olivari;2234011;058057;Proprietà
TER;IT058057000106;immobile 1105;;Via Luigi Einaudi;2234012;058057;Proprietà
TER;IT058057000107;immobile 1106;;Via Luigi Einaudi;2234013;058057;Proprietà
TER;IT058057000108;immobile 1107;;via del Giardino Vecchio;2234014;058057;Proprietà
TER;IT058057000109;immobile 1108;;via Rosa Venerini;2234015;058057;Proprietà
TER;IT058057000110;immobile 1109;;viale della Repubblica;2234016;058057;Proprietà
TER;IT058057000111;immobile 1110;;via Capo d'Acqua;2234017;058057;Proprietà
TER;IT058057000112;immobile 1111;;via costa caselle;2234018;058057;Proprietà
TER;IT058057000113;immobile 1112;;via costa caselle;2234019;058057;Proprietà
TER;IT058057000114;immobile 1113;;via costa caselle;2234020;058057;Proprietà
TER;IT058057000115;immobile 1114;;via Di Costa Caselle;2234021;058057;Proprietà
TER;IT058057000116;immobile 1115;;via Di Costa Caselle;2234022;058057;Proprietà
TER;IT058057000117;immobile 1116;;via Di Costa Caselle;2234023;058057;Proprietà
TER;IT058057000118;immobile 1117;;via costa caselle;2234024;058057;Proprietà
TER;IT058057000119;immobile 1118;;via costa caselle;2234025;058057;Proprietà
TER;IT058057000120;immobile 1119;;via costa caselle;2234026;058057;Proprietà
TER;IT058057000121;immobile 1120;;via costa caselle;2234027;058057;Proprietà
TER;IT058057000122;immobile 1121;;via costa caselle;2234028;058057;Proprietà
TER;IT058057000123;immobile 1122;;via Cave Di Peperino;2234029;058057;Proprietà
TER;IT058057000124;immobile 1123;;via costa caselle;2234030;058057;Proprietà
TER;IT058057000125;immobile 1124;;via costa caselle;2234031;058057;Proprietà
TER;IT058057000126;immobile 1125;;via capo d'acqua;2234032;058057;Proprietà
TER;IT058057000127;immobile 1126;;via capo d'acqua;2234033;058057;Proprietà
TER;IT058057000128;immobile 1127;;via della Repubblica;2234034;058057;Proprietà
TER;IT058057000129;immobile 1128;;via Cave Di Peperino;2234035;058057;Proprietà
TER;IT058057000130;immobile 1129;;via chiappino;2234036;058057;Proprietà
TER;IT058057000131;immobile 1130;;via costa caselle;2234037;058057;Proprietà
TER;IT058057000132;immobile 1131;;via capo d'acqua;2234038;058057;Proprietà
TER;IT058057000133;immobile 1132;;via costa caselle;2234039;058057;Proprietà
TER;IT058057000134;immobile 1133;;via costa caselle;2234040;058057;Proprietà
TER;IT058057000135;immobile 1134;;via costa caselle;2234041;058057;Proprietà
TER;IT058057000136;immobile 1135;;via Cave Di Peperino;2234042;058057;Proprietà
TER;IT058057000137;immobile 1136;Terreno scuola Ungaretti;via Olo Galbani;2234043;058057;Proprietà
TER;IT058057000138;immobile 1137;;via costa caselle;2234044;058057;Proprietà
TER;IT058057000139;immobile 1138;;via costa caselle;2234045;058057;Proprietà
TER;IT058057000140;immobile 1139;;via costa caselle;2234046;058057;Proprietà
TER;IT058057000141;immobile 1140;;via costa caselle;2234047;058057;Proprietà
TER;IT058057000142;immobile 1141;;via costa caselle;2234048;058057;Proprietà
TER;IT058057000143;immobile 1142;;via costa caselle;2234049;058057;Proprietà
TER;IT058057000144;immobile 1143;;via G. Prati;2234050;058057;Proprietà
TER;IT058057000145;immobile 1144;;via Capo d'Acqua;2234051;058057;Proprietà
TER;IT058057000146;immobile 1145;;via delle Molette;2234052;058057;Proprietà
TER;IT058057000147;immobile 1146;;via Nettunense Vecchia;2234053;058057;Proprietà
TER;IT058057000148;immobile 1147;;corso vittoria colonna;2234054;058057;Proprietà
TER;IT058057000149;immobile 1148;;via costa caselle;2234055;058057;Proprietà
TER;IT058057000150;immobile 1149;;via costa caselle;2234056;058057;Proprietà
TER;IT058057000151;immobile 1150;;via costa caselle;2234057;058057;Proprietà
TER;IT058057000152;immobile 1151;;via costa caselle;2234058;058057;Proprietà
TER;IT058057000153;immobile 1152;;via costa caselle;2234059;058057;Proprietà
TER;IT058057000154;immobile 1153;;via costa caselle;2234060;058057;Proprietà
TER;IT058057000155;immobile 1154;;via costa caselle;2234061;058057;Proprietà
TER;IT058057000156;immobile 1155;;via costa caselle;2234062;058057;Proprietà
TER;IT058057000157;immobile 1156;;via costa caselle;2234063;058057;Proprietà
TER;IT058057000158;immobile 1157;;via costa caselle;2234064;058057;Proprietà
TER;IT058057000159;immobile 1158;;via capo d'acqua;2234065;058057;Proprietà
TER;IT058057000160;immobile 1159;terreno;vicolo del divino amore;2234066;058057;Proprietà
TER;IT058057000161;immobile 1160;terreno;viale kennedy;2234067;058057;Proprietà
TER;IT058057000162;immobile 1161;terreno;vicolo del divino amore;2234068;058057;Proprietà
TER;IT058057000163;immobile 1162;terreno;vicolo del divino amore;2234069;058057;Proprietà
TER;IT058057000164;immobile 1163;terreno;viale Kennedy;2234070;058057;Proprietà
TER;IT058057000165;immobile 1164;verde attrazzato;via delle castagnole di sotto;2234071;058057;Proprietà
TER;IT058057000166;immobile 1165;terreno;via castagnole;2234072;058057;Proprietà
TER;IT058057000167;immobile 1166;terreno;via castagnole;2234073;058057;Proprietà
